,created_at,id,text
0,Fri May 01 15:52:16 +0000 2020,1256250091905732609,RT @ContractPharma: .@moderna_tx and @LonzaGroup entered a 10-year strategic collaboration for large scale manufacture of Moderna’s mRNA #v…
1,Fri May 01 16:26:00 +0000 2020,1256258582439440391,. @moderna_tx Taps @LonzaGroup to Scale Up Manufacturing of #COVID19 Vaccine: https://t.co/apZjyKeyhz https://t.co/J3l5g2PWyP
2,Fri May 01 16:38:18 +0000 2020,1256261677609365504,"Shark tank for vaccines!?!? 

(Shock confession: I've never seen Shark Tank)

Interesting article on a vaccine for… https://t.co/DQ8mXM47KT"
3,Fri May 01 17:28:41 +0000 2020,1256274354834415618,"https://t.co/aD8iT9NELy
@moderna_tx 
Moderna’s Work on a Potential Vaccine Against #COVID__19"
4,Fri May 01 18:10:56 +0000 2020,1256284987780890627,@Commonman2k1 @moderna_tx @ckknaturals @isatyagrahaa @MKumaramangalam Ah yes. That's promising https://t.co/JTy7BcJ4kp
5,Fri May 01 18:18:34 +0000 2020,1256286909870993408,"@ClentonQuiling @moderna_tx Polio vaccine, flu vaccine, victory vaccine.  When speaking of vaccines the disease you… https://t.co/rRLJvy76qn"
6,Fri May 01 18:22:45 +0000 2020,1256287963975159814,"Latest updates on #coronavirus include:

✅ @LonzaGroup of Portsmouth is teaming up with @moderna_tx for a potential… https://t.co/h27LnO0Pjm"
7,Fri May 01 19:19:29 +0000 2020,1256302237841752066,RT @GENbio: . @moderna_tx Taps @LonzaGroup to Scale Up Manufacturing of #COVID19 Vaccine: https://t.co/apZjyKeyhz https://t.co/J3l5g2PWyP
8,Fri May 01 19:21:52 +0000 2020,1256302837530873863,"RT @nhpr: Latest updates on #coronavirus include:

✅ @LonzaGroup of Portsmouth is teaming up with @moderna_tx for a potential vaccine again…"
9,Fri May 01 20:55:05 +0000 2020,1256326296134541312,. @moderna_tx accelerates manufacturing capacity for its #COVID19 vaccine candidate mRNA-1273 and additional future… https://t.co/mYeH4PpzF5
10,Fri May 01 21:12:07 +0000 2020,1256330583094857728,RT @GENbio: . @moderna_tx accelerates manufacturing capacity for its #COVID19 vaccine candidate mRNA-1273 and additional future products th…
11,Sat May 02 14:59:42 +0000 2020,1256599250680582144,This video report contains a clip of a man who was injected with the @moderna_tx experimental RNA vaccine against c… https://t.co/V5GjWCW9f2
12,Sat May 02 15:56:28 +0000 2020,1256613534869458944,"... 2/2 and the catch: it would be the first of its kind ""building your computer system and your first piece of sof… https://t.co/HWmb05WXYM"
13,Sat May 02 16:55:53 +0000 2020,1256628491161911297,@moderna_tx Hello- has your covid vaccine candidate shown significant efficacy in animals? If so - can you elaborate? Thanks! And good luck!
14,Sat May 02 18:05:06 +0000 2020,1256645908093177856,@moderna_tx is working hard to create a #COVID19 vaccine and make it widely available. Did you know that Moderna wa… https://t.co/tcNy14BnBQ
15,Sat May 02 19:19:48 +0000 2020,1256664705055195139,@AngeloBonelli1 @Marya1__ @william820621 @moderna_tx It’s partially addressed here: https://t.co/NNeB2vrWH3
16,Sat May 02 21:13:38 +0000 2020,1256693354110345217,RT @oukwuani: This video report contains a clip of a man who was injected with the @moderna_tx experimental RNA vaccine against coronavirus…
17,Sun May 03 04:10:49 +0000 2020,1256798340911636480,"why should univ endowments be uniquely suited to act countercyclically? I mean, correct me if @Yale's endowment is… https://t.co/3dJProrrcv"
18,Sun May 03 10:10:25 +0000 2020,1256888837965479937,"RT @ichaydon: I've been admitted into the 1st COVID-19 vaccine trial. 

I'm grateful for my health. For the 1000s of scientists who brought…"
19,Sun May 03 17:22:55 +0000 2020,1256997678161985550,Moderna aims for a billion COVID-19 shots a year with swiss group Lonza manufacturing tie-up. Moderna hopes to begi… https://t.co/fBuC0Yy2jx
20,Sun May 03 18:37:43 +0000 2020,1257016503926472704,"RT @GreenIvyPSS: @GreenIvyPSS students spoke with @ichaydon, who is 1/45 people in the world trialing @moderna_tx's Experimental #COVID #Va…"
21,Sun May 03 20:25:03 +0000 2020,1257043515546177536,. @moderna_tx Taps @LonzaGroup to Scale Up Manufacturing of #COVID19 Vaccine: https://t.co/apZjyKeyhz https://t.co/QgZGgLZk6b
22,Sun May 03 20:35:51 +0000 2020,1257046234805800965,RT @chaitali_abp: Moderna aims for a billion COVID-19 shots a year with swiss group Lonza manufacturing tie-up. Moderna hopes to begin batc…
23,Mon May 04 00:15:00 +0000 2020,1257101384933130244,"@Yamiche @esaagar Maybe provide some context.  @moderna_tx is already progressing in human trials of their vaccine,… https://t.co/Y3bJYXcbtw"
24,Mon May 04 11:34:18 +0000 2020,1257272337050763265,"US taxpayers are heavily funding COVID vaccine research.
o Half billion each to @moderna_tx &amp; @JNJNews
o Virtually… https://t.co/WqnabP8vJ8"
25,Mon May 04 14:19:11 +0000 2020,1257313831086252034,RT @GENbio: . @moderna_tx Taps @LonzaGroup to Scale Up Manufacturing of #COVID19 Vaccine: https://t.co/apZjyKeyhz https://t.co/QgZGgLZk6b
26,Mon May 04 21:50:50 +0000 2020,1257427491221901324,Biotech company @moderna_tx and contract development and manufacturing organization (#CDMO) @LonzaGroup have announ… https://t.co/li22tkC8N4
27,Tue May 05 02:24:10 +0000 2020,1257496279812378624,"RT @DavidP4AD: US taxpayers are heavily funding COVID vaccine research.
o Half billion each to @moderna_tx &amp; @JNJNews
o Virtually all fundi…"
28,Tue May 05 07:49:52 +0000 2020,1257578241579200512,RT @AaronJDy: Biotech company @moderna_tx and contract development and manufacturing organization (#CDMO) @LonzaGroup have announced a long…
29,Tue May 05 09:31:10 +0000 2020,1257603737364901888,"Now the amazing @azeem from @ExponentialView
 who mentioned @moderna_tx and their COVID vaccine progress and global… https://t.co/iUoxTkQjUW"
30,Wed May 06 15:08:03 +0000 2020,1258050903938076677,.@moderna_tx taps @LonzaGroup to scale up #manufacturing of COVID-19 #vaccine: https://t.co/wImCW6caZl… https://t.co/I8Omv4WszU
31,Wed May 06 20:12:09 +0000 2020,1258127433783488521,3️⃣ of our #COVID19 candidate vaccines have now entered clinical testing - @moderna_tx @InovioPharma and most recen… https://t.co/lFRBEBhtkY
32,Wed May 06 23:42:02 +0000 2020,1258180252079140866,RT @CEPIvaccines: 3️⃣ of our #COVID19 candidate vaccines have now entered clinical testing - @moderna_tx @InovioPharma and most recently @u…
33,Thu May 07 17:15:15 +0000 2020,1258445301658128384,. @US_FDA Clears @moderna_tx Phase II Trial for #COVID19 #Vaccine Candidate: https://t.co/WaQjXnAzSi https://t.co/O5gJFe2oes
34,Thu May 07 17:36:03 +0000 2020,1258450537089032194,RT @neelbs: #Vaccine candidate mRNA-1273 for #COVID19 from @moderna_tx is the first to get approval from @US_FDA for human #phase2 trials.…
