,created_at,id,text
0,Wed Apr 01 15:20:05 +0000 2020,1245370356426330115,"@elonmusk @Tesla Near to Bogota
we were recently declared an epicenter for pandemic control by covid, artificial re… https://t.co/WJ5KUCpMu9"
1,Wed Apr 01 15:21:25 +0000 2020,1245370690418683904,"@elonmusk @tesla Stony Brook University Hospital is the hub for COVID-19 treatment on Long Island, NY. We need more… https://t.co/mRGKZARPkn"
2,Wed Apr 01 15:26:43 +0000 2020,1245372026774327296,@elonmusk @tesla As a medical student I am deeply concerned for our patients in need of ventilators. Stony Brook Un… https://t.co/cNovLGGtGn
3,Wed Apr 01 15:48:38 +0000 2020,1245377539989581824,"@elonmusk @NYCHealthSystem @Tesla That's the wrong kind of machine, dumbass. It's not a ventilator, it's actually d… https://t.co/E8f9GY4obl"
4,Wed Apr 01 15:53:40 +0000 2020,1245378809857290242,@elonmusk @Tesla We need this gear Elon...https://t.co/M3T6MODENY
5,Wed Apr 01 16:41:46 +0000 2020,1245390912781352966,@elonmusk Sri Lanka 🇱🇰 government needs Ventilators to battle the Covid-19. Please assist the government ; we are w… https://t.co/bsQMNg6tnz
6,Wed Apr 01 16:45:46 +0000 2020,1245391918059716608,"@elonmusk @Tesla Dear Elon, this is such a great gesture. I work with Johnson and Johnson and as an organisation we… https://t.co/3s1pqbgyUb"
7,Wed Apr 01 16:49:49 +0000 2020,1245392937283919872,"@elonmusk @Tesla Congrats Elon Musk thats what we need right now, decisive support world wide, solve this crisis be… https://t.co/0qPJGaCrwv"
8,Wed Apr 01 16:51:17 +0000 2020,1245393308240818180,"@elonmusk @Tesla Many countries already suffering, even with tens of thousands of ventilators - #Ukraine is serious… https://t.co/y0iw8jnKaE"
9,Wed Apr 01 17:11:47 +0000 2020,1245398467515744257,@elonmusk @tesla As a medical student I am deeply concerned for our patients in need of ventilators. Stony Brook Un… https://t.co/KnLYNwLbg5
10,Wed Apr 01 17:14:47 +0000 2020,1245399220141600768,@elonmusk @Tesla Take away from Trump's Covid-19 Press Conference yesterday. https://t.co/XNCt12QY9D
11,Wed Apr 01 17:24:19 +0000 2020,1245401622651514880,@elonmusk @Tesla Tell us they aren't CPAP. This is really important. Ftr are you 100% sure your machines won't spre… https://t.co/eAhKbfZ730
12,Wed Apr 01 17:53:55 +0000 2020,1245409068916699136,@elonmusk @Tesla Hi I am Cesar Gamez from COMUNIDAR Mexico Unidos vs COVID.  We are a non-profit org in Monterrey M… https://t.co/9Ms4XBLpWC
13,Wed Apr 01 17:54:45 +0000 2020,1245409279487684608,"@elonmusk @tesla  As a medical student I am deeply terrified at the profound shortage of ventilators, not just worl… https://t.co/X58iZJqFBc"
14,Wed Apr 01 17:58:45 +0000 2020,1245410285382443009,"@elonmusk @Tesla The Covid-19 Virus has kept us inside in a total lockdown.
A few bitcoin can keep us alive for thi… https://t.co/XFUUbc5r5M"
15,Wed Apr 01 18:01:14 +0000 2020,1245410912661618693,@elonmusk  @Tesla As a medical student I am deeply concerned for our patients in need of ventilators. Stony Brook U… https://t.co/LKnleImDx9
16,Wed Apr 01 18:03:41 +0000 2020,1245411527743672320,"@elonmusk @Tesla Stony Brook Hospital in New York had over 300 COVID patients as of monday, 3/30/2020, and is runni… https://t.co/AkENVIXqKm"
17,Wed Apr 01 18:04:01 +0000 2020,1245411610979680256,@elonmusk @Tesla Elon - check it out https://t.co/yZpLlDKGLc
18,Wed Apr 01 18:07:43 +0000 2020,1245412542010347520,"@elonmusk @Tesla As a medical student, I am very concerned for our patients in need of ventilators. Stony Brook Uni… https://t.co/bMm9gabcwa"
19,Wed Apr 01 19:21:46 +0000 2020,1245431177080713217,@elonmusk @NYCHealthSystem @Tesla These’ll be super helpful if anyone suffering from covid also has sleep apnea.
20,Wed Apr 01 20:29:17 +0000 2020,1245448169623883779,@elonmusk @Tesla Thank you and UNDP would like to talk to you to discuss supporting our COVID-19 response.
21,Wed Apr 01 20:58:17 +0000 2020,1245455468077682689,"@elonmusk @Tesla Nyc in general and, Brooklyn NY Coney Island Hospital, Queens NY Elmhurst Hospital, Epicenter or N… https://t.co/YQENoL7z3i"
22,Wed Apr 01 21:31:42 +0000 2020,1245463875966779393,@elonmusk @Tesla Great effort to help the people across the globe in this bad time when Nations are finding it diff… https://t.co/GHQ2kbaPgF
23,Wed Apr 01 21:32:02 +0000 2020,1245463959085502470,"@elonmusk @Tesla Elon the hospital in Queens got some but the picture of the units shows a CPAP machine, which spre… https://t.co/HGEfovB6M1"
24,Wed Apr 01 21:33:56 +0000 2020,1245464439140253696,@elonmusk @Tesla Dear Elon.  I'm from Ukraine .  We have a very difficult situation with both medicine and equipmen… https://t.co/CqZUPpwbM0
25,Wed Apr 01 21:51:54 +0000 2020,1245468962197889024,"@elonmusk @Tesla Mr @elonmusk @Tesla 
Thank you very much for your support.  I work in the high-specialty hospital… https://t.co/GPTOmYFue2"
26,Wed Apr 01 21:53:14 +0000 2020,1245469297675079680,@elonmusk @Tesla Send them to Europe Italy Spain over there where they have been taking lives of other patients by… https://t.co/RyoqhgtI7f
27,Wed Apr 01 22:05:08 +0000 2020,1245472289321345025,"@elonmusk @Tesla Please, help Ukraine! Weakened by the 6 y. long  war waged by the Russian Federation, and by the c… https://t.co/DIozmtoyqO"
28,Wed Apr 01 22:09:48 +0000 2020,1245473466524073985,"@elonmusk @Tesla Dear Mr.Musk, Pakistan 🇵🇰is hit hard by COVID 19 and , having one of the most dense population in… https://t.co/GTBSDc3CW1"
29,Wed Apr 01 22:10:56 +0000 2020,1245473748888834060,"@elonmusk @NYCHealthSystem @Tesla These are CPAP machines, won’t help for COVID"
30,Wed Apr 01 22:21:45 +0000 2020,1245476473592414209,"@elonmusk: free #supercharging for all #tesla models through the #covid #pandemic, extend existing free superchargi… https://t.co/grMR9zC4CL"
31,Wed Apr 01 23:07:34 +0000 2020,1245488001016201217,"@elonmusk @Tesla CPAP's were responsible for the spread of Covid-19 in the WA nursing home. 
""Scientists have known… https://t.co/sRYcw3tGXF"
32,Wed Apr 01 23:08:41 +0000 2020,1245488285297803264,@elonmusk @NYCHealthSystem @Tesla My father in-law is running a COVID Medication clinical trial in NY. Could defini… https://t.co/otvSV5jcz4
33,Wed Apr 01 23:16:34 +0000 2020,1245490266464755712,"@elonmusk @Tesla In NJ, the second hardest hit state in the country with confirmed COVID-19.  I work for one of the… https://t.co/VRryvPpUwD"
34,Wed Apr 01 23:23:36 +0000 2020,1245492038021173248,@elonmusk @Tesla Dear Mr. Musk.  The Chechen Republic will need FDA-approved ventilators at the onset of the epidem… https://t.co/xlY6GP1hLt
35,Thu Apr 02 00:37:18 +0000 2020,1245510586475130881,@elonmusk @Tesla We are building AI systems to trace and detect Covid-19 infections. We are in Bolivia 🇧🇴. We take… https://t.co/bKLsVMoMUx
36,Thu Apr 02 01:42:55 +0000 2020,1245527096560099328,"@elonmusk @Tesla I own an ambulance service in Indiana and we only have 3 ventilators at the moment, we are in need… https://t.co/S6wcgTp4JI"
37,Thu Apr 02 01:53:02 +0000 2020,1245529645296111616,"@elonmusk @NYCHealthSystem @Tesla PLEASE DON’T DO THIS

https://t.co/FRXtRtKXck"
38,Thu Apr 02 03:31:06 +0000 2020,1245554321078382596,"@elonmusk @Tesla Sawasdee ka Elon. This is Ni from Thailand, a small and beautiful country in Asia. We have many sm… https://t.co/9gfvIc6vgE"
39,Thu Apr 02 03:42:34 +0000 2020,1245557208160624641,@elonmusk @Tesla Honduras please We have a 7% probability of deaths in my COUNTRY BY COVID-19 HELP😔😔
40,Thu Apr 02 03:45:01 +0000 2020,1245557824022695943,@elonmusk You’re losing future customers.  Step up and be a leader.  I was planning on buying my first Tesla later… https://t.co/9bv95JVlFq
41,Thu Apr 02 04:21:34 +0000 2020,1245567021980323840,@elonmusk @Tesla @elonmusk @Tesla - the next limitation in the COVID fight is going to abilities to do effective CP… https://t.co/cUhrjX311q
42,Thu Apr 02 04:23:46 +0000 2020,1245567577264246785,"@elonmusk @Tesla There's zero vents in Ludhiana, Punjab, India (a city of 1.6 million). I know India may be out of… https://t.co/wEzCaKt2o8"
43,Thu Apr 02 05:28:26 +0000 2020,1245583848714285057,"@elonmusk @Tesla Mr Musk, please help us, my city Guayaquil is under terrible distres, many people are dying, pleas… https://t.co/QpzR5Yipw2"
44,Thu Apr 02 06:05:42 +0000 2020,1245593230608969729,@elonmusk @Tesla We could use some in San Diego preparing for our COVID surge. I am in Healthcare Supply Chain. Eta… https://t.co/8pbdOMV5Fm
45,Thu Apr 02 07:01:00 +0000 2020,1245607146261057537,@elonmusk @Tesla Please @elonmusk South Africa needs ventilators. I would also like to speak to you about some idea… https://t.co/36mVNfwifA
46,Thu Apr 02 07:28:31 +0000 2020,1245614069152804873,@elonmusk @Tesla Am doc working at county emergency ops center. COVID crisis is more logistical than medical; probl… https://t.co/k8MepbvuiU
47,Thu Apr 02 07:57:18 +0000 2020,1245621315488235520,"@elonmusk @Tesla @elonmusk, you got musked!

“Hospitals seeking ventilators for COVID-19 patients are typically loo… https://t.co/Fma2dNsEdx"
48,Thu Apr 02 08:33:22 +0000 2020,1245630390854799366,@elonmusk @Tesla A virus cannot survive long without a host. I worked in P3 isolation lab with live viruses such as… https://t.co/iRw2JF0Cn9
49,Thu Apr 02 08:50:19 +0000 2020,1245634655321075712,@elonmusk @Tesla To every nation.. science is based on facts. COVID 19 IS CONTAGIOUS. We are its hosts but with rea… https://t.co/CsqSnbrGGc
50,Thu Apr 02 09:11:30 +0000 2020,1245639988454162441,@elonmusk @Tesla please assist Nigeria’s fight against Covid 19 with some ventilators ❤️❤️ Thanks. https://t.co/MnvTPRf6Zm
51,Thu Apr 02 09:11:35 +0000 2020,1245640008867827721,@elonmusk @Tesla Nigeria might need some especially Lagos with a bit less than 174 Covid-19 patients and a daily geometric rise
52,Thu Apr 02 10:16:40 +0000 2020,1245656388530888706,@elonmusk @Tesla @elonmusk  the APC government in Nigeria is a big scam this is the same  Buhari &amp; Federal Govt tha… https://t.co/k9g4SOlBxy
53,Thu Apr 02 10:26:17 +0000 2020,1245658808732356614,@elonmusk @Tesla There is no point shaming @FinMinNigeria for asking for Ventilators... we can come back after all… https://t.co/dL9gQUfynn
54,Thu Apr 02 10:30:07 +0000 2020,1245659772877066241,@elonmusk @Tesla Please help us in Nigeria. We need ventilators right away as the number of positive COVID - 19 pat… https://t.co/X7p2XyorJB
